Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	192.0	27390934	0.094	-1.654
miRNA	1.0	110862	0.458	-0.659
ncRNA	112.0	7301134	1.224	-33.800
TTS	343.0	33238543	0.652	-33.528
pseudo	9.0	2203097	-0.685	2.420
Exon	313.0	38133921	0.322	-9.576
Intron	7849.0	1271485563	-0.089	28.477
Intergenic	8196.0	1682818050	-0.431	808.155
Promoter	3294.0	37027996	3.760	-5782.364
5UTR	65.0	2718992	1.864	-39.588
snoRNA	0.0	357	-0.003	0.002
scRNA	0.0	97	-0.001	0.001
rRNA	0.0	25562	-0.224	0.168
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	192.0	27390934	0.095	-1.669
Retroposon	4.0	4118157	-2.756	16.875
RC?	1.0	59905	1.347	-1.124
RNA	0.0	109103	-0.779	0.716
miRNA	1.0	110862	0.459	-0.660
ncRNA	112.0	7301134	1.225	-33.848
TTS	343.0	33238543	0.653	-33.624
LINE	1108.0	635658444	-1.913	1871.459
srpRNA	1.0	265207	-0.799	0.732
SINE	1323.0	382286578	-0.923	381.423
RC	5.0	362669	1.071	-2.371
tRNA	9.0	95208	3.849	-17.597
DNA?	4.0	423517	0.525	-1.193
pseudo	9.0	2203097	-0.684	2.415
DNA	436.0	99792063	-0.587	45.593
Exon	313.0	38133921	0.323	-9.626
Intron	4514.0	663039865	0.053	-5.870
Intergenic	3794.0	779843358	-0.432	247.754
Promoter	3294.0	37027996	3.761	-5784.651
5UTR	65.0	2718992	1.865	-39.623
snoRNA	0.0	357	-0.003	0.002
LTR?	5.0	1142119	-0.584	1.419
scRNA	1.0	123116	0.308	-0.590
CpG-Island	437.0	8970960	2.892	-505.236
Low_complexity	6.0	5509135	-2.591	21.052
LTR	4343.0	263378095	1.329	-1584.121
Simple_repeat	46.0	34885007	-2.315	112.545
snRNA	3.0	316219	0.532	-1.068
Unknown	3.0	715512	-0.646	1.170
SINE?	0.0	2674	-0.025	0.018
Satellite	3.0	75492605	-7.367	484.613
rRNA	0.0	204066	-1.226	1.339
