# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	12032	PREX1	1	9.957721e-20	1.869761e-15	1.869761e-15	5.825439e+0	7.553079e+0	44	3.707033e-4	2.159509e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-1108,chr20-1182,chr20-1183,chr20-1186,chr20-143,chr20-1456,chr20-1457,chr20-162,chr20-1819,chr20-185,chr20-207,chr20-216,chr20-233,chr20-247,chr20-275,chr20-293,chr20-324,chr20-351,chr20-395,chr20-412,chr20-413,chr20-420,chr20-474,chr20-522,chr20-523,chr20-556,chr20-571,chr20-588,chr20-608,chr20-63,chr20-630,chr20-678,chr20-701,chr20-766,chr20-795,chr20-796,chr20-797,chr20-82,chr20-831,chr20-86,chr20-869,chr20-911,chr20-912,chr20-913	PREX1
Ensembl Genes	12031	SULF2	2	7.317530e-18	1.374013e-13	6.870063e-14	5.054390e+0	8.903152e+0	45	4.369645e-4	2.208589e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-1107,chr20-1108,chr20-1182,chr20-1183,chr20-1186,chr20-135,chr20-143,chr20-1456,chr20-1457,chr20-162,chr20-1819,chr20-185,chr20-207,chr20-216,chr20-233,chr20-244,chr20-275,chr20-293,chr20-324,chr20-351,chr20-357,chr20-395,chr20-412,chr20-413,chr20-420,chr20-474,chr20-522,chr20-523,chr20-571,chr20-587,chr20-588,chr20-608,chr20-63,chr20-630,chr20-678,chr20-766,chr20-795,chr20-796,chr20-82,chr20-831,chr20-86,chr20-869,chr20-911,chr20-912,chr20-913	SULF2
Ensembl Genes	18758	NTMT1	3	5.113887e-16	9.602346e-12	3.200782e-12	7.684337e+0	3.643775e+0	28	1.788356e-4	1.374233e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr9-1037,chr9-12,chr9-13,chr9-130,chr9-1352,chr9-209,chr9-246,chr9-277,chr9-33,chr9-348,chr9-358,chr9-367,chr9-41,chr9-450,chr9-468,chr9-523,chr9-542,chr9-562,chr9-588,chr9-63,chr9-68,chr9-734,chr9-735,chr9-829,chr9-89,chr9-890,chr9-891,chr9-92	NTMT1
Ensembl Genes	12048	CEBPB	4	2.220732e-15	4.169868e-11	1.042467e-11	9.567131e+0	2.404065e+0	23	1.179909e-4	1.128834e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-113,chr20-127,chr20-13,chr20-132,chr20-151,chr20-153,chr20-164,chr20-190,chr20-198,chr20-245,chr20-266,chr20-290,chr20-32,chr20-359,chr20-36,chr20-39,chr20-396,chr20-46,chr20-466,chr20-496,chr20-56,chr20-633,chr20-9	CEBPB
Ensembl Genes	18755	PTPA	5	2.455375e-15	4.610458e-11	9.220915e-12	7.561395e+0	3.570770e+0	27	1.752525e-4	1.325153e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr9-1037,chr9-12,chr9-13,chr9-130,chr9-1352,chr9-209,chr9-246,chr9-277,chr9-348,chr9-358,chr9-367,chr9-41,chr9-450,chr9-468,chr9-523,chr9-542,chr9-562,chr9-588,chr9-63,chr9-68,chr9-734,chr9-735,chr9-829,chr9-89,chr9-890,chr9-891,chr9-92	PTPA
Ensembl Genes	5036	NCOR2	6	5.405293e-15	1.014952e-10	1.691586e-11	5.538990e+0	6.138303e+0	34	3.012664e-4	1.668712e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr12-1023,chr12-1176,chr12-1177,chr12-127,chr12-140,chr12-144,chr12-150,chr12-1531,chr12-156,chr12-1689,chr12-1690,chr12-173,chr12-207,chr12-226,chr12-232,chr12-303,chr12-304,chr12-316,chr12-365,chr12-383,chr12-425,chr12-493,chr12-494,chr12-505,chr12-535,chr12-550,chr12-584,chr12-607,chr12-67,chr12-673,chr12-750,chr12-78,chr12-888,chr12-954	NCOR2
Ensembl Genes	7400	FAM92B	7	8.956559e-15	1.681773e-10	2.402533e-11	7.155960e+0	3.773079e+0	27	1.851818e-4	1.325153e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr16-1041,chr16-131,chr16-1370,chr16-16,chr16-169,chr16-175,chr16-19,chr16-216,chr16-274,chr16-335,chr16-34,chr16-342,chr16-392,chr16-453,chr16-46,chr16-514,chr16-531,chr16-544,chr16-556,chr16-700,chr16-701,chr16-73,chr16-773,chr16-802,chr16-879,chr16-911,chr16-92	FAM92B
Ensembl Genes	7401	GSE1	8	1.863237e-13	3.498600e-9	4.373250e-10	6.570990e+0	3.956786e+0	26	1.941981e-4	1.276074e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr16-1041,chr16-131,chr16-1370,chr16-16,chr16-169,chr16-175,chr16-19,chr16-216,chr16-274,chr16-335,chr16-34,chr16-342,chr16-392,chr16-453,chr16-46,chr16-514,chr16-531,chr16-544,chr16-700,chr16-701,chr16-73,chr16-773,chr16-802,chr16-879,chr16-911,chr16-92	GSE1
Ensembl Genes	12049	PTPN1	9	2.110804e-12	3.963457e-8	4.403841e-9	6.470204e+0	3.709311e+0	24	1.820521e-4	1.177914e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr20-103,chr20-113,chr20-127,chr20-13,chr20-132,chr20-151,chr20-153,chr20-164,chr20-190,chr20-245,chr20-266,chr20-305,chr20-32,chr20-359,chr20-36,chr20-39,chr20-396,chr20-397,chr20-46,chr20-466,chr20-496,chr20-56,chr20-732,chr20-9	PTPN1
Ensembl Genes	195	TMEM51	10	2.365815e-12	4.442291e-8	4.442291e-9	5.192844e+0	5.584608e+0	29	2.740912e-4	1.423313e-3	1	6.638973e-1	1.000000e+0	1.000000e+0	1.506257e+0	6.638973e-1	1	1	8.021819e-5	1.000000e+0	chr1-1015,chr1-1060,chr1-108,chr1-1109,chr1-120,chr1-1215,chr1-1275,chr1-136,chr1-139,chr1-1788,chr1-1791,chr1-1903,chr1-2225,chr1-2449,chr1-2709,chr1-3017,chr1-303,chr1-380,chr1-428,chr1-472,chr1-567,chr1-698,chr1-737,chr1-795,chr1-819,chr1-880,chr1-881,chr1-971,chr1-972	TMEM51
