# HOMER Peaks
# Peak finding parameters:
# tag directory = USF2_tags/
#
# total peaks = 20375
# peak size = 318
# peaks found using tags on both strands
# minimum distance between peaks = 636
# fragment length = 150
# genome size = 2000000000
# Total tags = 15985705.0
# Total tags in peaks = 1288648.0
# Approximate IP efficiency = 8.06%
# tags per bp = 0.007993
# expected tags per peak = 2.542
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.845597e-06
# FDR tag threshold = 13.0
# number of putative peaks = 40570
#
# input tag directory = INPUT_tags/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 18904
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1291
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks USF2_tags/ -style factor -i INPUT_tags/ -o USF2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr12-1	chr12	57752242	57752560	+	394.1	0.699	630.000000	630.0	17.4	36.24	0.00e+00	36.54	0.00e+00	0.44
chr19-1	chr19	10653831	10654149	+	381.6	0.660	611.000000	610.0	9.2	66.29	0.00e+00	33.89	0.00e+00	0.44
chr14-1	chr14	20461481	20461799	+	381.0	0.680	609.000000	609.0	10.2	59.56	0.00e+00	34.46	0.00e+00	0.45
chr16-1	chr16	28974533	28974851	+	369.1	0.751	590.000000	590.0	11.2	52.46	0.00e+00	43.50	0.00e+00	0.45
chr13-1	chr13	113296899	113297217	+	367.8	0.729	590.000000	588.0	6.6	88.47	0.00e+00	41.83	0.00e+00	0.46
chr14-2	chr14	20454956	20455274	+	365.3	0.768	586.000000	584.0	14.3	40.80	0.00e+00	32.87	0.00e+00	0.46
chr1-1	chr1	154558700	154559018	+	362.2	0.739	582.000000	579.0	5.1	113.25	0.00e+00	72.85	0.00e+00	0.46
chr10-1	chr10	118755083	118755401	+	359.7	0.766	575.000000	575.0	6.6	86.52	0.00e+00	63.43	0.00e+00	0.46
chr19-2	chr19	47515273	47515591	+	358.4	0.641	573.000000	573.0	9.7	58.99	0.00e+00	35.10	0.00e+00	0.46
chr19-3	chr19	36054246	36054564	+	357.8	0.769	572.000000	572.0	8.2	69.93	0.00e+00	50.33	0.00e+00	0.46
chr11-1	chr11	18322371	18322689	+	354.1	0.656	567.000000	566.0	10.7	52.72	0.00e+00	29.66	0.00e+00	0.47
chr11-2	chr11	65711828	65712146	+	352.2	0.796	563.000000	563.0	9.2	61.18	0.00e+00	51.32	0.00e+00	0.47
chr20-1	chr20	38962000	38962318	+	346.6	0.791	555.000000	554.0	12.8	43.34	0.00e+00	38.86	0.00e+00	0.47
chr20-2	chr20	45891132	45891450	+	346.6	0.798	554.000000	554.0	17.4	31.87	0.00e+00	32.75	0.00e+00	0.47
chr12-2	chr12	120317638	120317956	+	345.9	0.795	554.000000	553.0	5.1	108.17	0.00e+00	59.92	0.00e+00	0.47
chr1-2	chr1	11806005	11806323	+	343.4	0.828	549.000000	549.0	13.8	39.77	0.00e+00	44.22	0.00e+00	0.48
chr2-1	chr2	46698696	46699014	+	341.6	0.787	546.000000	546.0	7.2	76.28	0.00e+00	47.50	0.00e+00	0.48
chr16-2	chr16	88856909	88857227	+	341.6	0.728	548.000000	546.0	9.7	56.21	0.00e+00	56.93	0.00e+00	0.48
chr15-1	chr15	72375870	72376188	+	340.9	0.791	546.000000	545.0	9.7	56.11	0.00e+00	45.09	0.00e+00	0.48
chr19-4	chr19	1275735	1276053	+	340.9	0.801	547.000000	545.0	3.1	177.67	0.00e+00	63.33	0.00e+00	0.48
chr16-3	chr16	5033777	5034095	+	339.7	0.823	544.000000	543.0	10.2	53.11	0.00e+00	32.16	0.00e+00	0.48
chr14-3	chr14	101948156	101948474	+	338.4	0.751	543.000000	541.0	16.9	32.07	0.00e+00	38.76	0.00e+00	0.48
chr21-1	chr21	44517285	44517603	+	337.8	0.772	542.000000	540.0	8.7	62.13	0.00e+00	59.35	0.00e+00	0.48
chr16-4	chr16	67481027	67481345	+	335.9	0.841	539.000000	537.0	11.8	45.67	0.00e+00	44.55	0.00e+00	0.48
chr9-1	chr9	92325208	92325526	+	335.3	0.683	539.000000	536.0	10.2	52.42	0.00e+00	30.97	0.00e+00	0.48
chr5-1	chr5	134370884	134371202	+	334.7	0.800	536.000000	535.0	9.7	55.08	0.00e+00	50.43	0.00e+00	0.48
chr6-1	chr6	84227524	84227842	+	333.4	0.816	536.000000	533.0	10.7	49.64	0.00e+00	57.96	0.00e+00	0.49
chr9-2	chr9	97922101	97922419	+	330.3	0.821	530.000000	528.0	12.3	43.03	0.00e+00	53.23	0.00e+00	0.49
chr14-4	chr14	35122112	35122430	+	330.3	0.739	532.000000	528.0	23.0	22.95	0.00e+00	26.70	0.00e+00	0.49
chr9-3	chr9	34049081	34049399	+	329.0	0.624	529.000000	526.0	8.7	60.52	0.00e+00	20.99	0.00e+00	0.49
chr16-5	chr16	28491931	28492249	+	329.0	0.806	531.000000	526.0	9.2	57.16	0.00e+00	51.33	0.00e+00	0.49
chr4-1	chr4	98929051	98929369	+	327.8	0.776	524.000000	524.0	2.6	204.99	0.00e+00	55.40	0.00e+00	0.49
chr11-3	chr11	126211564	126211882	+	325.9	0.823	524.000000	521.0	9.7	53.64	0.00e+00	53.77	0.00e+00	0.49
chr7-1	chr7	4775432	4775750	+	324.0	0.842	519.000000	518.0	7.7	67.55	0.00e+00	46.39	0.00e+00	0.49
chr3-1	chr3	20186103	20186421	+	322.8	0.828	517.000000	516.0	10.7	48.06	0.00e+00	63.60	0.00e+00	0.49
chr14-5	chr14	24213430	24213748	+	322.8	0.837	518.000000	516.0	29.1	17.71	0.00e+00	29.98	0.00e+00	0.49
chr15-2	chr15	43791924	43792242	+	322.8	0.753	521.000000	516.0	8.2	63.08	0.00e+00	56.51	0.00e+00	0.49
chr6-2	chr6	87155350	87155668	+	322.2	0.711	516.000000	515.0	11.2	45.79	0.00e+00	36.38	0.00e+00	0.50
chr6-3	chr6	151452048	151452366	+	322.2	0.850	515.000000	515.0	19.4	26.51	0.00e+00	52.27	0.00e+00	0.50
chr14-6	chr14	67816538	67816856	+	322.2	0.775	517.000000	515.0	8.2	62.96	0.00e+00	51.58	0.00e+00	0.50
chr17-1	chr17	8192163	8192481	+	320.9	0.859	515.000000	513.0	9.2	55.75	0.00e+00	25.15	0.00e+00	0.50
chr1-3	chr1	154220514	154220832	+	319.7	0.726	514.000000	511.0	8.2	62.47	0.00e+00	40.52	0.00e+00	0.50
chr7-2	chr7	151062410	151062728	+	319.7	0.800	512.000000	511.0	5.6	90.86	0.00e+00	50.51	0.00e+00	0.50
chr9-4	chr9	114587553	114587871	+	319.7	0.817	512.000000	511.0	12.8	39.98	0.00e+00	54.98	0.00e+00	0.50
chr11-4	chr11	86069123	86069441	+	318.4	0.732	510.000000	509.0	7.7	66.37	0.00e+00	75.60	0.00e+00	0.50
chr19-5	chr19	40348376	40348694	+	317.8	0.863	511.000000	508.0	7.7	66.24	0.00e+00	96.07	0.00e+00	0.50
chr16-6	chr16	9053110	9053428	+	317.2	0.899	510.000000	507.0	11.8	43.12	0.00e+00	56.75	0.00e+00	0.50
chr14-8	chr14	24095455	24095773	+	315.9	0.850	505.000000	505.0	35.8	14.11	0.00e+00	28.63	0.00e+00	0.50
chr17-3	chr17	7012202	7012520	+	315.9	0.788	508.000000	505.0	10.7	47.04	0.00e+00	44.31	0.00e+00	0.50
chr1-4	chr1	15603506	15603824	+	315.3	0.861	508.000000	504.0	11.8	42.86	0.00e+00	47.80	0.00e+00	0.50
chr14-7	chr14	81221190	81221508	+	314.7	0.752	510.000000	503.0	4.6	109.32	0.00e+00	51.05	0.00e+00	0.50
chr17-4	chr17	82292713	82293031	+	314.7	0.826	506.000000	503.0	12.3	40.99	0.00e+00	16.12	0.00e+00	0.50
chr17-2	chr17	82288019	82288337	+	314.0	0.821	510.000000	502.0	17.9	28.05	0.00e+00	16.69	0.00e+00	0.50
chr12-3	chr12	122266345	122266663	+	312.8	0.816	503.000000	500.0	6.1	81.50	0.00e+00	56.59	0.00e+00	0.50
chr16-7	chr16	4847228	4847546	+	312.8	0.813	506.000000	500.0	4.6	108.67	0.00e+00	89.55	0.00e+00	0.50
chr19-6	chr19	48954593	48954911	+	312.8	0.780	502.000000	500.0	7.2	69.86	0.00e+00	63.96	0.00e+00	0.50
chr20-3	chr20	18793874	18794192	+	312.8	0.884	501.000000	500.0	18.4	27.17	0.00e+00	48.02	0.00e+00	0.50
chr16-8	chr16	74695840	74696158	+	312.2	0.885	502.000000	499.0	14.8	33.66	0.00e+00	56.06	0.00e+00	0.50
chr2-2	chr2	207711239	207711557	+	311.5	0.815	504.000000	498.0	8.7	57.30	0.00e+00	54.74	0.00e+00	0.51
chr17-5	chr17	7234431	7234749	+	311.5	0.805	504.000000	498.0	7.2	69.58	0.00e+00	50.71	0.00e+00	0.51
chr3-2	chr3	4467109	4467427	+	310.9	0.850	500.000000	497.0	9.2	54.01	0.00e+00	59.81	0.00e+00	0.51
chr14-10	chr14	24161032	24161350	+	310.9	0.848	497.000000	497.0	29.1	17.05	0.00e+00	48.19	0.00e+00	0.51
chr5-2	chr5	173056073	173056391	+	310.3	0.775	496.000000	496.0	6.1	80.85	0.00e+00	60.17	0.00e+00	0.51
chr14-9	chr14	23320822	23321140	+	310.3	0.818	500.000000	496.0	15.8	31.30	0.00e+00	36.74	0.00e+00	0.51
